"ฤฟฑ๊ฝฺตใ","ฤฟฑ๊ฝฺตใฯตอณภเะอ","ฤฟฑ๊ฝฺตใฮปบลร๛","ิดฝฺตใ","ิดฝฺตใภเะอ","ิดฝฺตใฮปบลร๛","ื้","สýพÝม๗ฯ๒","ร่ส๖","นซสฝ"
"FCS0092","VF","2110PIP1103C01","OTS","VxOTS","PIP1103C01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1103C02","OTS","VxOTS","PIP1103C02.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1104A","OTS","VxOTS","PIP1104A.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1104B","OTS","VxOTS","PIP1104B.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1105A01","OTS","VxOTS","PIP1105A01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1105A02","OTS","VxOTS","PIP1105A02.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1105B01","OTS","VxOTS","PIP1105B01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1105B02","OTS","VxOTS","PIP1105B02.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1110","OTS","VxOTS","PIP1110.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1601","OTS","VxOTS","PIP1601.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1603","OTS","VxOTS","PIP1603.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1604A","OTS","VxOTS","PIP1604A.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1604B","OTS","VxOTS","PIP1604B.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1605A","OTS","VxOTS","PIP1605A.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1605B","OTS","VxOTS","PIP1605B.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1701A01","OTS","VxOTS","PIP1701A01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1701A02","OTS","VxOTS","PIP1701A02.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1701B01","OTS","VxOTS","PIP1701B01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1701B02","OTS","VxOTS","PIP1701B02.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1702A","OTS","VxOTS","PIP1702A.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1702B","OTS","VxOTS","PIP1702B.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1703A","OTS","VxOTS","PIP1703A.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1703B","OTS","VxOTS","PIP1703B.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1704A","OTS","VxOTS","PIP1704A.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1704B","OTS","VxOTS","PIP1704B.PV","AI","ะด","",""
"FCS0092","VF","2110TI110102","OTS","VxOTS","TI110102.PV","AI","ะด","",""
"FCS0092","VF","2110TI110106","OTS","VxOTS","TI110106.PV","AI","ะด","",""
"FCS0092","VF","2110TI110201","OTS","VxOTS","TI110201.PV","AI","ะด","",""
"FCS0092","VF","2110TI110202","OTS","VxOTS","TI110202.PV","AI","ะด","",""
"FCS0092","VF","2110TI110303","OTS","VxOTS","TI110303.PV","AI","ะด","",""
"FCS0092","VF","2110TI110401","OTS","VxOTS","TI110401.PV","AI","ะด","",""
"FCS0092","VF","2110TI110402","OTS","VxOTS","TI110402.PV","AI","ะด","",""
"FCS0092","VF","2110TI110403","OTS","VxOTS","TI110403.PV","AI","ะด","",""
"FCS0092","VF","2110TI110404","OTS","VxOTS","TI110404.PV","AI","ะด","",""
"FCS0092","VF","2110TI110406","OTS","VxOTS","TI110406.PV","AI","ะด","",""
"FCS0092","VF","2110TI110501","OTS","VxOTS","TI110501.PV","AI","ะด","",""
"FCS0092","VF","2110TI110502","OTS","VxOTS","TI110502.PV","AI","ะด","",""
"FCS0092","VF","2110TI110503","OTS","VxOTS","TI110503.PV","AI","ะด","",""
"FCS0092","VF","2110TI110504A","OTS","VxOTS","TI110504A.PV","AI","ะด","",""
"FCS0092","VF","2110TI110504B","OTS","VxOTS","TI110504B.PV","AI","ะด","",""
"FCS0092","VF","2110TI110504C","OTS","VxOTS","TI110504C.PV","AI","ะด","",""
"FCS0092","VF","2110TI110504D","OTS","VxOTS","TI110504D.PV","AI","ะด","",""
"FCS0092","VF","2110TI110504E","OTS","VxOTS","TI110504E.PV","AI","ะด","",""
"FCS0092","VF","2110TI110513A","OTS","VxOTS","TI110513A.PV","AI","ะด","",""
"FCS0092","VF","2110TI110513B","OTS","VxOTS","TI110513B.PV","AI","ะด","",""
"FCS0092","VF","2110TI110513C","OTS","VxOTS","TI110513C.PV","AI","ะด","",""
"FCS0092","VF","2110TI110513D","OTS","VxOTS","TI110513D.PV","AI","ะด","",""
"FCS0092","VF","2110TI110513E","OTS","VxOTS","TI110513E.PV","AI","ะด","",""
"FCS0092","VF","2110TI110514","OTS","VxOTS","TI110514.PV","AI","ะด","",""
"FCS0092","VF","2110TI110515","OTS","VxOTS","TI110515.PV","AI","ะด","",""
"FCS0092","VF","2110TI110516","OTS","VxOTS","TI110516.PV","AI","ะด","",""
"FCS0092","VF","2110TI110517","OTS","VxOTS","TI110517.PV","AI","ะด","",""
"FCS0092","VF","2110TI110518","OTS","VxOTS","TI110518.PV","AI","ะด","",""
"FCS0092","VF","2110TI110519","OTS","VxOTS","TI110519.PV","AI","ะด","",""
"FCS0092","VF","2110TI110520","OTS","VxOTS","TI110520.PV","AI","ะด","",""
"FCS0092","VF","2110TI110521","OTS","VxOTS","TI110521.PV","AI","ะด","",""
"FCS0092","VF","2110TI110522","OTS","VxOTS","TI110522.PV","AI","ะด","",""
"FCS0092","VF","2110TI110523","OTS","VxOTS","TI110523.PV","AI","ะด","",""
"FCS0092","VF","2110TI110524A","OTS","VxOTS","TI110524A.PV","AI","ะด","",""
"FCS0092","VF","2110TI110524B","OTS","VxOTS","TI110524B.PV","AI","ะด","",""
"FCS0092","VF","2110TI110601","OTS","VxOTS","TI110601.PV","AI","ะด","",""
"FCS0092","VF","2110TI110602","OTS","VxOTS","TI110602.PV","AI","ะด","",""
